"","Value","Count","MapCode","Name","Biome","Bioregion","Nat.1750km2","Nat.1990km2","Nat.2014km2","Nat.2018km2","Nat.2020km2","Nat.2022km2","Nat.2040ard_90.22","Natlost.2022km2","Natlost.90_22km2","SeconNat.2022km2","ArtWtrBodies.2022km2","Builtup.2022km2","Croplands.2022km2","Mines.2022km2","Plantation.2022km2","ARD14.22","ARD18.22","ARD20.22","ARD90.14","ARD90.18","ARD90.20","ARD90.22","EOOkm2","AOO occ","AOO1prc","PrcNat.2022","PrcNat.2040ard_1990.2022","PrcNatlost.2022","PrcNatlost.2040ard_90.22","PrcDeclyr90.22","PrcSeconNat.2022","PrcArtWtrBodies.2022","PrcBuiltup.2022","PrcCroplands.2022","PrcMines.2022","PrcPlantation.2022","Status90.22","EOOstatus.size","AOOstatus.size","A2b","A3","B1i","B2i","RLEcore","ThrExcl.core","Basis.RLEcore"
"249",249,729819,"Gm11","Rand Highveld Grassland","Grassland","Mesic Highveld Grassland Bioregion",10508.9704,5015.5124,4524.8476,4291.668,4240.2764,4209.3108,3755.82,6299.6596,0.160741622331549,1529.2368,64.6888,527.7476,3820.5932,99.6584,257.7348,39.4421,20.5892999999999,15.4827999999998,20.4443666666666,25.8515857142857,25.8412,25.1938,51642.0000945425,213,198,40,75,60,25,0.5,15,1,5,36,1,2,"Decline","LC","LC","LC","VU","LC","LC","VU","VU","A3"
"250",250,886893,"Gm12","Eastern Highveld Grassland","Grassland","Mesic Highveld Grassland Bioregion",12772.3464,4776.9704,4201.7828,3851.1788,3775.0468,3707.5024,3105.93,9064.844,0.223879972126267,2560.7752,182.0904,382.4668,4359.6144,438.0108,1141.8864,61.78505,35.9191000000001,33.7722000000001,23.96615,33.0639857142857,33.3974533333333,33.420875,23013.2044151687,192,176,29,65,71,35,0.7,20,1,3,34,3,9,"Decline","VU","LC","VU","EN","VU","LC","EN","EN","A3"
"251",251,272722,"Gm13","Amersfoort Highveld Clay Grassland","Grassland","Mesic Highveld Grassland Bioregion",3927.0832,2316.5792,2222.6736,2149.9132,2135.0912,2126.254,2019.2,1800.8292,0.0821578644926106,551.5624,14.456,72.2548,1110.1104,4.3904,48.0552,12.05245,5.91480000000001,4.41859999999997,3.91273333333334,5.95235714285715,6.04960000000001,5.94766250000001,7259.30280010925,77,73,54,87,46,13,0.3,14,0,2,28,0,1,"Stable","EN","LC","LC","LC","LC","LC","LC","",""
"252",252,260438,"Gm14","Wakkerstroom Montane Grassland","Grassland","Mesic Highveld Grassland Bioregion",3750.404,3144.5596,3055.6796,2986.0984,2961.5236,2950.1036,2840.72,800.3004,0.0618388660847771,269.354,19.354,15.5912,376.61,0.7064,118.6848,13.197,8.99869999999999,5.71000000000004,3.70333333333334,5.65932857142858,6.1012,6.07675,7450.15089981311,71,67,79,90,21,10,0.2,7,1,0,10,0,3,"Stable","EN","LC","LC","LC","LC","LC","LC","",""
"253",253,292895,"Gm15","Paulpietersburg Moist Grassland","Grassland","Mesic Highveld Grassland Bioregion",4216.7964,2624.1372,2150.9944,2005.67,1983.7432,1966.934,1597.26,2249.8624,0.250445441648402,478.6108,5.7492,131.8072,427.4552,1.556,1204.684,23.00755,9.68400000000003,8.40459999999996,19.7142833333333,22.0881142857143,21.3464666666667,20.5376,11687.6754232034,109,101,47,61,53,39,0.8,11,0,3,10,0,29,"Decline","EN","LC","VU","VU","EN","LC","EN","EN","B1i"
"254",254,670467,"Gm16","KaNgwane Montane Grassland","Grassland","Mesic Highveld Grassland Bioregion",9654.27,5975.8204,5576.2024,5378.984,5353.5948,5329.0376,4965.22,4325.2324,0.108233306342339,681.0472,21.6656,181.8828,1006.812,3.228,2430.5968,30.8956000000001,12.4866000000002,12.2786000000001,16.65075,21.3155857142857,20.7408533333333,20.2119625,18473.5417174873,163,155,55,83,45,17,0.3,7,0,2,10,0,25,"Stable","EN","LC","LC","LC","LC","LC","LC","",""
"255",255,89665,"Gm17","Barberton Montane Grassland","Grassland","Mesic Highveld Grassland Bioregion",1291.3648,866.6812,818.8756,807.1948,806.4272,805.1776,770.58,486.1872,0.070964502287577,52.6304,0.9496,3.118,9.5848,0.5132,419.3912,1.71225,0.504300000000001,0.624799999999993,1.9919,2.12451428571429,2.00846666666667,1.9219875,2997.32502210706,35,30,62,89,38,11,0.2,4,0,0,1,0,32,"Stable","EN","VU","LC","LC","LC","LC","LC","",""
"256",256,95872,"Gm19","Sekhukhune Montane Grassland","Grassland","Mesic Highveld Grassland Bioregion",1380.8652,893.0628,873.7612,856.5348,848.8872,847.0832,821.22,533.782,0.0514852930835323,207.9064,2.9408,10.2688,288.254,7.9628,16.4492,3.33475,2.3629,0.901999999999987,0.804233333333334,1.30457142857143,1.47252,1.4368625,2593.96015232715,37,32,61,92,39,8,0.2,15,0,1,21,1,1,"Stable","EN","VU","LC","LC","LC","LC","LC","",""
"257",257,259534,"Gm2","Senqu Montane Shrubland","Grassland","Mesic Highveld Grassland Bioregion",3736.8868,2827.9868,2825.648,2819.2792,2818.8972,2818.7504,2813.55,918.1364,0.00326606899296709,17.1896,16.5116,51.5288,832.418,0,0.4884,0.86220000000003,0.132200000000012,0.0733999999999924,0.0974499999999997,0.310985714285721,0.302986666666675,0.288637500000007,13769.212612834,116,105,75,99,25,1,0,0,0,1,22,0,0,"Stable","EN","LC","LC","LC","LC","LC","LC","",""
"258",258,1414,"Gm20","Leolo Summit Sourveld","Grassland","Mesic Highveld Grassland Bioregion",20.3444,19.4396,19.1984,18.99,18.4,18.3932,17.8,1.9512,0.0538282680713594,0.386,0,0.2504,1.2744,0,0.0404,0.10065,0.1492,0.00339999999999918,0.01005,0.0160571428571429,0.0346533333333333,0.0327,62.2920048823242,2,2,90,92,10,8,0.2,2,0,1,6,0,0,"Stable","CR","CR","LC","LC","LC","LC","LC","",""
